Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related risk ID,Related maturity Category,Related supplier finding,Target date,Basis for inclusion,Control maturity (0-4)
A.5.16,Identity management,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.17,Authentication information,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.18,Access rights,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.19,Information security in supplier relationships,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.20,Addressing information security within supplier agreements,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.21,Managing information security in the ICT supply chain,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.22,"Monitoring, review and change management of supplier services",Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.23,Information security for use of cloud services,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.24,Information security incident management planning and preparation,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.25,Assessment and decision on information security events,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.26,Response to information security incidents,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.27,Learning from information security incidents,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.28,Collection of evidence,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.29,Information security during disruption,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.30,ICT readiness for business continuity,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.31,"Legal, statutory, regulatory and contractual requirements",Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.32,Intellectual property rights,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.33,Protection of records,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.34,Privacy and protection of PII,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.35,Independent review of information security,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.36,"Compliance with policies, rules and standards for information security",Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.37,Documented operating procedures,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.1,Screening,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.2,Terms and conditions of employment,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.3,"Information security awareness, education and training",People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.4,Disciplinary process,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.5,Responsibilities after termination or change of employment,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.6,Confidentiality or non-disclosure agreements,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.7,Remote working,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.6.8,Information security event reporting,People,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.1,Physical security perimeters,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.2,Physical entry,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.3,"Securing offices, rooms and facilities",Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.4,Physical security monitoring,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.5,Protecting against physical and environmental threats,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.6,Working in secure areas,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.7,Clear desk and clear screen,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.8,Equipment siting and protection,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.9,Security of assets off-premises,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.10,Storage media,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.11,Supporting utilities,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.12,Cabling security,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.13,Equipment maintenance,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.7.14,Secure disposal or re-use of equipment,Physical,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
