Question ID,Domain,Question,Response Type,Evidence Required,Risk Weight (1-5),ISO/IEC 27001:2022 Annex A,NIST CSF 2.0,Tier 1,Tier 2 (Lite),Tier 3 (Attestation),Vendor Response,Evidence Provided (Y/N),Reviewer Verdict (Met/Partial/Not Met/NA),Finding ID,Reviewer Comment
VQ-50,11. Incident Response and Breach Notification,Do you maintain a documented incident response plan? When was it last exercised?,Yes/No + date,Incident response plan plus dated exercise record,5,"A.5.24, A.5.26",RS.MA,Y,Y,,,,,,
VQ-51,11. Incident Response and Breach Notification,Within how many hours will you notify us of a security incident affecting our data?,Numeric (hours),Contractual notification clause,5,"A.5.26, A.6.8",RS.CO,Y,Y,Y,,,,,
VQ-52,11. Incident Response and Breach Notification,"Who is the named security incident contact, and what is the out-of-hours escalation route?",Free text,Contact record with 24x7 route,4,A.5.5,RS.CO,Y,,,,,,,
VQ-53,11. Incident Response and Breach Notification,Have you experienced a reportable security breach in the last 24 months? Describe it and the remediation.,Yes/No + free text,Breach summary and remediation evidence,5,A.5.27,RS.AN,Y,Y,,,,,,
VQ-54,11. Incident Response and Breach Notification,Do you support customer forensic requests and preserve evidence to a defined standard?,Yes/No,Evidence handling and chain-of-custody procedure,3,A.5.28,RS.AN,Y,,,,,,,
VQ-55,"12. Business Continuity, Backup and Resilience",State your contractual availability commitment and your achieved availability over the last 12 months.,Free text,Service level agreement plus uptime report,4,A.5.30,PR.IR,Y,,,,,,,
VQ-56,"12. Business Continuity, Backup and Resilience",State the documented Recovery Time Objective and Recovery Point Objective for the service we consume.,Free text,Business continuity or disaster recovery plan,5,"A.5.29, A.5.30",RC.RP,Y,Y,,,,,,
VQ-57,"12. Business Continuity, Backup and Resilience","When was the disaster recovery plan last tested, and what was the documented result?",Date + free text,Disaster recovery test report,5,A.5.30,RC.RP,Y,Y,,,,,,
VQ-58,"12. Business Continuity, Backup and Resilience","Are backups encrypted, and are restores tested at a defined frequency?",Yes/No + multiple choice,Backup policy and a dated restore test record,4,A.8.13,RC.RP,Y,,,,,,,
VQ-59,"12. Business Continuity, Backup and Resilience","Can we export our complete dataset in a documented, machine-readable format on demand?",Yes/No + free text,Export documentation,4,A.5.29,RC.RP,Y,,,,,,,
VQ-60,13. Personnel Security and Awareness,"Are background checks performed on personnel with access to customer data, where lawful?",Yes/No + free text,Screening policy,3,A.6.1,PR.AT,Y,,,,,,,
VQ-61,13. Personnel Security and Awareness,Do all personnel and contractors sign confidentiality agreements?,Yes/No,Template confidentiality clause,3,A.6.6,PR.AT,Y,,,,,,,
VQ-62,13. Personnel Security and Awareness,Is security awareness training mandatory at induction and at least annually? State current completion rate.,Yes/No + numeric (%),Training completion report,3,A.6.3,PR.AT,Y,,,,,,,
VQ-63,13. Personnel Security and Awareness,Do you run phishing simulations? State the click rate recorded in the most recent exercise.,Yes/No + free text,Simulation results,2,A.6.3,PR.AT,Y,,,,,,,
VQ-64,14. Physical and Environmental Security,"Where is customer data physically hosted, and is it in your own facilities or a sub-service provider's?",Free text,Facility description or provider attestation,3,A.7.1,PR.IR,Y,,,,,,,
VQ-65,14. Physical and Environmental Security,"Is physical access to hosting facilities controlled, logged and periodically reviewed?",Yes/No,Facility attestation or sub-service provider report,3,"A.7.2, A.7.4",PR.IR,Y,,,,,,,
VQ-66,14. Physical and Environmental Security,Are storage media securely destroyed at end of life to a recognised standard?,Yes/No + free text,Sample certificate of destruction,2,"A.7.10, A.7.14",PR.DS,Y,,,,,,,
VQ-67,15. AI and Automated Processing,"Does the service process our data using AI or machine learning, including for features we have not explicitly enabled?",Yes/No + free text,Product and data-flow documentation,5,"A.5.34, A.8.25",GV.SC,Y,Y,,,,,,
VQ-68,15. AI and Automated Processing,"Is our data used to train, fine-tune or evaluate any model, whether yours or a third party's?",Yes/No,Contractual prohibition or signed written confirmation,5,"A.5.20, A.5.34",GV.SC,Y,Y,Y,,,,,
VQ-69,15. AI and Automated Processing,"Is our data exposed to human review by your staff or contractors for quality, safety or model improvement?",Yes/No + free text,Human review policy and the access controls around it,5,"A.5.34, A.5.20",GV.SC,Y,Y,,,,,,
VQ-70,15. AI and Automated Processing,"Name every AI sub-processor or model provider in the data path, and the retention period at each.",Free text,Sub-processor register entry covering AI providers,5,A.5.21,GV.SC,Y,Y,,,,,,
VQ-71,"16. Contract, Exit and Termination","Will you accept a contractual right of audit, or an annual assurance review in place of one?",Yes/No + free text,Contract clause,3,"A.5.20, A.5.22",GV.SC,Y,,,,,,,
VQ-72,"16. Contract, Exit and Termination",Do you carry cyber liability insurance? State the limit of indemnity.,Yes/No + free text,Certificate of insurance,3,A.5.20,GV.SC,Y,,,,,,,
VQ-73,"16. Contract, Exit and Termination","On termination, within how many days is our data deleted, and will you certify the deletion in writing?",Numeric (days) + Yes/No,Template certificate of deletion,5,"A.8.10, A.5.20",GV.SC,Y,Y,Y,,,,,
VQ-74,"16. Contract, Exit and Termination","Do you provide transition assistance on exit, and is the scope contractually defined?",Yes/No + free text,Contract clause,3,A.5.20,GV.SC,Y,,,,,,,
