Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related CGI-RSK-001 v1.1 risk ID,Related CGI-GAP-001 Category,Related CGI-TPR-001 finding,Target date,Basis for inclusion,Control maturity (0-4),In CGI-GAP-001 mapping (Y/N),CGI-GAP-001 mapped under,Roadmap link
A.5.11,Return of assets,Organizational,Y,"Missed by CGI-GAP-001. The rule is written: CGI-POL-001 section 4.11 requires devices, access cards and printed material back within five business days, and CGI-POL-003 section 4.5.9 requires a completed offboarding checklist for every leaver. Neither has been evidenced, and neither reaches company data held on BYOD devices or in non-federated vendor accounts.",Partial,Held: CGI-POL-001 section 4.11; CGI-POL-003 sections 4.5.2 and 4.5.9. Required: completed offboarding checklists covering asset and data return and every non-federated vendor (CGI-TPR-001 Gate C).,Head of People and Operations,R-003; VR-008,PR.AA,F-003 (no SCIM on Slack; leaver removal manual),31 Dec 2026,Risk + Maturity gap + Vendor finding,2,N,-,ISO-11; REC-02
A.5.12,Classification of information,Organizational,Y,"CGI-POL-004 defines four tiers (confirmed, VA-01), but the scheme has not been applied to any asset (ID.AM = 1).",Partial,Held: CGI-POL-004 v1.0. Required: classification recorded against every inventory entry; approved section 4.2 amendment.,Chief Technology Officer,R-003; R-005,ID.AM; PR.DS,CGI-POL-004 section 4.2 named no third-party destinations (CGI-TPR-001 section 1.1),31 Mar 2027,Risk + Maturity gap + Vendor finding,2,Y,ID.AM; PR.DS,REC-05
A.5.13,Labelling of information,Organizational,Y,"No asset carries a classification label, so the Handling Matrix cannot be enforced (GAP-007).",Partial,"Held: labelling rules in CGI-POL-004. Required: labels applied in Google Workspace, repositories and data stores.",IT Operations Manager,R-003,ID.AM,-,31 Mar 2027,Risk + Maturity gap,1,Y,ID.AM,REC-05
A.5.14,Information transfer,Organizational,Y,"The CGI-POL-004 Handling Matrix governs transfer, but it named no permitted third-party destinations until the CGI-TPR-001 amendment, which is still awaiting approval.",Partial,Held: CGI-POL-004 section 4.2. Required: CTO-approved amendment listing permitted destinations by classification.,Chief Technology Officer,R-003; VR-001; VR-003; VR-006,PR.DS,F-001; F-004; CGI-POL-004 section 4.2 named no third-party destinations,31 Oct 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.DS,ISO-09
A.5.15,Access control,Organizational,Y,"CGI-POL-003 is an approved access control policy (PR.AA = 2). It has never been evidenced operating, and the four-hour SLA cannot be met on non-federated vendors.",Partial,Held: CGI-POL-003 v1.0. Required: first quarterly review record; SSO coverage list.,IT Operations Manager,R-001; R-003; VR-008,PR.AA,F-003,31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-02
A.5.16,Identity management,Organizational,Y,"Google Workspace is the identity provider (VRA addendum step 3), but Slack, Notion, Grammarly and Miro are not federated, so identity lifecycle is incomplete.",Partial,Held: CGI-POL-003 JML process. Required: SSO/SCIM on Tier 1 vendors (Slack by 15 Nov 2026); KRI-V5 at 100%.,IT Operations Manager,R-001; R-003; VR-008,PR.AA,F-003; KRI-V5,31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-01; VRA-2026-002 R3
A.5.17,Authentication information,Organizational,Y,"CGI-POL-002 sections 4.3 and 4.5 are strong, but MFA enrolment is 80% and ACC-001 still accepts SMS until 03 Mar 2027.",Partial,Held: CGI-POL-002; CGI-TRK-001 (80% MFA); ACC-001. Required: 100% enrolment report; ACC-001 retired.,IT Operations Manager,R-001,PR.AA,F-010 (root-account MFA CUEC unaccepted),31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-01
A.5.18,Access rights,Organizational,Y,The CGI-POL-003 section 4.7.1 quarterly privileged review is mandated but has never run; the AWS report assumes CGI performs this review (CUEC).,Partial,"Held: CGI-POL-003 section 4.7.1. Required: dated, signed quarterly review records (four by Stage 2).",IT Operations Manager,R-003; R-005; VR-008,PR.AA,F-010 (least-privilege review CUEC); F-003,31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-02; VRA-2026-001 C1
A.5.19,Information security in supplier relationships,Organizational,Y,"CGI-TPR-001 is the supplier process, so GV.SC = 2 (designed, owned, communicated). It is not 3: no review cycle has run on cadence, and the first Tier 1 re-reviews fall due Sep 2027.",Partial,Held: CGI-TPR-001 v1.0; VRA-2026-001/-002/-003. Required for Implemented: seven Tier 1 review records; four quarterly shadow-IT reconciliations; KRI reports.,Chief Technology Officer,VR-001; VR-002; VR-003; VR-004; VR-005; VR-006; VR-007; VR-008; VR-009; R-005,GV.SC,"Estate 17 vendors vs 5 known; 2 AI tools found only through expense claims, with no company contract; 4 of 17 with no assurance artifact",30 Sep 2027,Risk + Maturity gap + Vendor finding,2,Y,GV.SC,REC-15 (delivered)
A.5.20,Addressing information security within supplier agreements,Organizational,Y,"The 18-clause checklist and Gate B (no DPA, no onboarding) are designed. 6 of 17 vendors still have no executed DPA, which is a live GDPR Article 28 gap and a likely Stage 2 finding if still open.",Partial,Held: CGI-TPR-001 section 7.4 checklist; 11 executed DPAs. Required: six outstanding DPAs executed; KRI-V1 at 100%.,Chief Technology Officer,VR-001; VR-004; VR-006; VR-007,GV.SC,F-001; F-002; F-004; F-005; F-009 (no audit right - accepted); KRI-V1 = 65% (6 of 17 vendors with no DPA),31 Oct 2026,Risk + Maturity gap + Vendor finding,2,Y,GV.SC,ISO-09; VRA-2026-002 R1-R2
A.5.21,Managing information security in the ICT supply chain,Organizational,Y,"Questionnaire domain 7 and clauses 4-5 design the ICT supply-chain control, but fourth parties behind carve-out reports have never been reconciled.",Partial,Held: CGI-TPR-002 VQ-33 to VQ-36. Required: CSOC reconciliation records for AWS and Slack.,Chief Technology Officer,VR-003; VR-004,GV.SC,F-007; F-011 (CSOC lists never reconciled),31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,GV.SC,VRA-2026-001 C2; VRA-2026-002 R6
A.5.22,"Monitoring, review and change management of supplier services",Organizational,Y,"Review cadence is defined (12/18/24 months) and clause 9 treats assurance decay, but zero scheduled reviews have run and no change feed is monitored.",Partial,Held: CGI-TPR-001 tiering model and KRIs. Required: dated review records; sub-processor change-feed subscriptions.,Chief Technology Officer,VR-003; VR-009,GV.SC,F-006 (stale Slack SOC 2); F-012 (sub-processor feed not subscribed),30 Sep 2027,Risk + Maturity gap + Vendor finding,2,Y,GV.SC,VRA-2026-001 C2; REC-15
A.5.23,Information security for use of cloud services,Organizational,Y,"Cloud acquisition is covered by CGI-TPR-001, but there is no cloud-specific process, no documented shared-responsibility boundary and no tested exit, and the four CUECs are unaccepted, so the AWS opinion does not yet cover CGI's use.",Partial,Held: VRA-2026-001. Required: signed CUEC acceptance (C1); shared-responsibility statement; exit plan for Tier 1 cloud vendors (KRI-V7).,Chief Technology Officer,R-005; VR-002; VR-004; VR-007,GV.SC; PR.IR,VRA-2026-001 AWS PASS WITH CONDITIONS (F-010 to F-013; all four conditions are CGI's),15 Dec 2026,Risk + Maturity gap + Vendor finding,1,Y,GV.SC,ISO-02; VRA-2026-001 C1-C4
A.5.24,Information security incident management planning and preparation,Organizational,Y,"CGI-POL-005 is an approved plan with SEV1-SEV4, roles and targets (RS.MA = 2), but it has never been exercised and names no out-of-band channel.",Partial,Held: CGI-POL-005 v1.0. Required: tabletop record; vendor incident contacts; out-of-band channel.,Chief Technology Officer,R-002; R-005; VR-004,RS.MA; RS.CO,F-002; VR-002 (out-of-band incident channel needed),30 Jun 2027,Risk + Maturity gap + Vendor finding,2,Y,RS.MA; RS.CO,REC-12
A.5.25,Assessment and decision on information security events,Organizational,Y,"SEV bands exist, but with no telemetry and no alert-to-incident escalation, there is nothing to assess (DE.AE = 1).",Partial,Held: CGI-POL-005 SEV definitions. Required: written triage and escalation path; sample triage tickets.,IT Operations Manager,R-001; R-003,DE.AE,-,31 Mar 2027,Risk + Maturity gap,1,Y,DE.AE,REC-07
A.5.26,Response to information security incidents,Organizational,Y,"The CGI-POL-005 section 5.5 response stages are written, but no containment runbooks exist and no response has ever been performed or rehearsed.",Partial,Held: CGI-POL-005 section 5.5. Required: runbooks for the top three scenarios; exercise record.,Chief Technology Officer,R-001; R-002; R-005; VR-004,RS.MA; RS.MI,F-002; F-008,30 Jun 2027,Risk + Maturity gap + Vendor finding,2,Y,RS.MA; RS.MI,REC-12
A.5.27,Learning from information security incidents,Organizational,Y,The CGI-POL-005 sections 5.7 and 7.2 reviews and tabletop are written but have never run (ID.IM = 1).,Partial,Held: CGI-POL-005 sections 5.7 and 7.2. Required: lessons-learned record from the first tabletop.,Chief Technology Officer,R-002,ID.IM; RS.AN,-,30 Jun 2027,Risk + Maturity gap,1,Y,ID.IM; RS.AN,REC-12
A.5.28,Collection of evidence,Organizational,Y,"CGI-POL-005 section 5.3.2 forbids deleting evidence, but no collection or chain-of-custody procedure or log retention standard sits beneath it.",Partial,Held: CGI-POL-005 sections 5.3.2 and 5.7.3. Required: evidence-handling procedure; 12-month log retention standard.,IT Operations Manager,R-003; R-004; VR-004,RS.AN,F-008 (no customer-accessible Slack audit log),31 Mar 2027,Risk + Maturity gap + Vendor finding,1,Y,RS.AN,REC-07
A.5.29,Information security during disruption,Organizational,Y,"There is no plan for maintaining security during disruption. Concentration means one AWS regional failure also removes monitoring, ticketing and runbooks.",Partial,Held: AWS snapshots only. Required: disruption plan naming the out-of-band tools; status page (CGI-VEN-017) live.,IT Operations Manager,R-002; VR-002,RC.RP; RC.CO,VR-002 concentration: 5 vendors share AWS with the platform,30 Jun 2027,Risk + Maturity gap + Vendor finding,1,Y,RC.RP; RC.CO,REC-03; REC-14
A.5.30,ICT readiness for business continuity,Organizational,Y,"Backups exist but have never been restored, and no RTO or RPO is declared (CG-01). CGI-RSK-001 gives R-002 no backup credit until this closes.",Partial,Held: AWS native snapshots. Required: CGI-POL-006 with RTO/RPO; dated restore test report.,IT Operations Manager,R-002; VR-002; VR-007,RC.RP,"F-013 (no RTO/RPO, no restore test, export never exercised)",15 Dec 2026,Risk + Maturity gap + Vendor finding,1,Y,RC.RP,REC-03; VRA-2026-001 C4
A.5.31,"Legal, statutory, regulatory and contractual requirements",Organizational,Y,"Obligations are scattered (GDPR processor role in assumption A-06, 72-hour duty in CGI-POL-005). No register of legal, regulatory and contractual requirements exists (GV.OC = 1).",Partial,Held: CGI-RSK-001 assumptions A-01 to A-06. Required: CEO-approved obligations register.,Chief Executive Officer,VR-001,GV.OC,F-001 (GDPR Art. 28 non-conformity),31 Oct 2026,Risk + Maturity gap + Vendor finding,1,Y,GV.OC,ISO-01
A.5.32,Intellectual property rights,Organizational,Y,"No register risk covers this, and it is not in CGI-GAP-001. Included because a SaaS company ships third-party and open-source code under licence terms, and the inventory shows tools bought on personal expenses (CGI-VEN-013).",Not started,Held: CGI-POL-001 section 4.6.2 bans unlicensed software on devices (a fragment). Required: software licence register; open-source licence rule in CGI-POL-007.,Chief Technology Officer,-,-,-,30 Jun 2027,Legal / regulatory - NOT risk-based,0,N,-,ISO-11
A.5.33,Protection of records,Organizational,Y,"Missed by CGI-GAP-001, although CGI-POL-004 section 7 maps it. No retention standard exists for ISMS records or logs, and one Tier 1 vendor retains everything indefinitely.",Not started,"Held: retention periods by tier in CGI-POL-004 section 4.2, and two record-specific rules (CGI-POL-003 section 4.7.4; CGI-POL-005 section 5.7.5). These are fragments: no schedule covers ISMS records, logs or contracts. Required: records and retention schedule (ISMS records, logs, contracts).",Chief Technology Officer,R-003; VR-004,RS.AN,F-005 (Slack unlimited retention),31 Mar 2027,Risk + Maturity gap + Vendor finding,0,N,-,REC-07; ISO-08
A.5.34,Privacy and protection of PII,Organizational,Y,"Missed by CGI-GAP-001, although CGI is a GDPR processor for ~200 customers. Classification and breach duties exist, but there is no GDPR Article 30 record of processing and 6 vendors have no DPA.",Partial,Held: CGI-POL-004; CGI-POL-005 section 5.6.3. Required: GDPR Art. 30 record of processing; six DPAs; transfer register.,Chief Technology Officer,VR-001; VR-003; VR-006; R-003,GV.OC; PR.DS,F-001; F-004; O-001; KRI-V1 = 65%,31 Dec 2026,Risk + Maturity gap + Vendor finding,1,N,-,ISO-09
A.5.35,Independent review of information security,Organizational,Y,No independent review has ever taken place (GV.OV = 1). This assessment is internal and does not count.,Not started,Held: none. Required: independent internal audit report (ISO-12).,Chief Executive Officer,R-004; R-005,GV.OV,-,31 May 2027,Risk + Maturity gap,0,Y,GV.OV,ISO-12
A.5.36,"Compliance with policies, rules and standards for information security",Organizational,Y,No compliance check against policy has ever run. Acknowledgement is 60% and KRIs have never been reported.,Partial,Held: CGI-TRK-001. Required: quarterly compliance check minuted at the REC-10 review.,Chief Technology Officer,R-001; R-002,GV.PO; GV.OV,-,31 Mar 2027,Risk + Maturity gap,1,Y,GV.PO; GV.OV,REC-04; REC-10
A.5.37,Documented operating procedures,Organizational,Y,"Policies exist, but the procedures beneath them do not (GAP-017, GAP-020), and the planned runbook location shares AWS with the platform.",Partial,"Held: policy pack only. Required: runbooks, stored where they survive a platform outage.",IT Operations Manager,R-002; R-005; VR-002,GV.PO,"CGI-VEN-011 Notion holds runbooks: no DPA, public links enabled, AWS-hosted",30 Jun 2027,Risk + Maturity gap + Vendor finding,1,Y,GV.PO,REC-12
A.6.1,Screening,People,Y,"Missed by CGI-GAP-001. CGI-POL-003 joiner steps exist (a weak mapping kept from Project 1), but no proportionate screening procedure is evidenced.",Partial,Held: CGI-POL-003 joiner section. Required: screening procedure lawful under EU/German employment law; sample records.,Head of People and Operations,R-003,GV.RR,-,31 Mar 2027,Risk + Maturity gap,1,N,-,ISO-11
A.6.2,Terms and conditions of employment,People,Y,Missed by CGI-GAP-001. No evidence that employment or contractor terms state information security responsibilities.,Not started,Held: none. Required: contract clause referencing the ISMS policy and CGI-POL-001.,Head of People and Operations,R-003,GV.RR,-,31 Dec 2026,Risk + Maturity gap,0,N,-,ISO-11
A.6.3,"Information security awareness, education and training",People,Y,"Induction only, 60% complete, with no recurring or role-based training and no phishing simulation (CG-04, PR.AT = 1).",Partial,Held: CGI-POL-003 section 4.3.6; CGI-TRK-001. Required: annual curriculum; simulation results; AI-use module.,Head of People and Operations,R-001; VR-005; VR-006,PR.AT,VR-006: no staff instruction on CGI-POL-001 section 4.5 AI use,31 Mar 2027,Risk + Maturity gap + Vendor finding,1,Y,PR.AT,REC-09
A.6.4,Disciplinary process,People,Y,"Missed by CGI-GAP-001. No disciplinary procedure linked to policy breaches is on file, and unacknowledged policies are unenforceable (GAP-004).",Not started,Held: the sanction statement in each policy's Enforcement section (a fragment: there is no procedure behind it). Required: HR procedure referencing the CGI-POL pack.,Head of People and Operations,R-003; R-001,GV.PO,-,31 Dec 2026,Risk + Maturity gap,0,N,-,ISO-11
A.6.5,Responsibilities after termination or change of employment,People,Y,Missed by CGI-GAP-001. Leaver access removal is written; continuing confidentiality duties and vendor-account removal are not evidenced.,Partial,Held: CGI-POL-003 section 4.5.2. Required: leaver letter restating duties; vendor-account checklist.,Head of People and Operations,R-003; VR-008,PR.AA,F-003; VR-008,31 Dec 2026,Risk + Maturity gap + Vendor finding,1,N,-,ISO-11; REC-02
A.6.6,Confidentiality or non-disclosure agreements,People,Y,Missed by CGI-GAP-001. No signed confidentiality agreements are on file for staff or contractors.,Not started,"Held: none. Required: signed NDAs, reviewed annually (the control's own wording requires them documented).",Head of People and Operations,R-003; VR-003,GV.RR,-,31 Dec 2026,Risk + Maturity gap,0,N,-,ISO-11
A.6.7,Remote working,People,Y,"Missed by CGI-GAP-001. CGI-POL-001 section 4.4 (BYOD) is an approved remote-working rule set, but there is no device register behind it.",Partial,Held: CGI-POL-001 section 4.4. Required: endpoint register; remote-working compliance check.,IT Operations Manager,R-001; R-003,GV.PO; PR.AA,-,31 Mar 2027,Risk + Maturity gap,2,N,-,REC-05
A.6.8,Information security event reporting,People,Y,"CGI-POL-005 section 5.2 reporting channels are approved, but no event has been reported or rehearsed.",Partial,Held: CGI-POL-005 section 5.2. Required: incident register entries; tabletop record.,Chief Technology Officer,R-001; R-003; VR-004,PR.AT; RS.CO,F-002,30 Jun 2027,Risk + Maturity gap + Vendor finding,2,Y,PR.AT; RS.CO,REC-12
A.7.1,Physical security perimeters,Physical,Y,"No register risk covers physical intrusion, and physical security was out of CGI-GAP-001 scope. Applicable because the head office holds staff endpoints; enterprise questionnaires ask this (CGI asks it of vendors: VQ-64 to VQ-66). Candidate risk CR-03 is proposed rather than invented.",Not started,Held: none. Required: landlord security schedule (assumption ISO-A03).,IT Operations Manager,-,-,-,31 Mar 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.2,Physical entry,Physical,Y,As A.7.1. Building entry is assumed to be provided by the landlord and is not evidenced.,Not started,Held: none. Required: access badge process; visitor log.,IT Operations Manager,-,-,-,31 Mar 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.3,"Securing offices, rooms and facilities",Physical,Y,As A.7.1. The office is in scope as a place where Confidential information is handled on screen.,Not started,Held: none. Required: office security rules.,IT Operations Manager,-,-,-,31 Mar 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.4,Physical security monitoring,Physical,N,"EXCLUDED. There are no secure areas or on-premises information processing facilities: production runs in AWS, whose physical monitoring is assured through A.5.23 (VRA-2026-001). The serviced office holds only portable endpoints. Re-include if servers, network equipment or Confidential paper records are kept on site.",N/A - excluded,Held: VRA-2026-001 (AWS SOC 2 covers data-centre monitoring). Required: exclusion approved in SoA v1.0.,IT Operations Manager,-,-,-,N/A - re-evaluate at SoA review 30 Sep 2027,Excluded,,N,-,-
A.7.5,Protecting against physical and environmental threats,Physical,Y,No register risk covers this. It is applicable only to people and endpoints in the office (landlord fire and flood controls); production resilience is covered by A.5.23 and A.8.14.,Not started,Held: none. Required: landlord fire-safety confirmation.,IT Operations Manager,-,-,-,30 Jun 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.6,Working in secure areas,Physical,N,"EXCLUDED. No secure areas are defined, because there is no server or network room. Re-include if one is created.",N/A - excluded,Held: n/a. Required: exclusion approved in SoA v1.0.,IT Operations Manager,-,-,-,N/A - re-evaluate at SoA review 30 Sep 2027,Excluded,,N,-,-
A.7.7,Clear desk and clear screen,Physical,Y,"No register risk covers shoulder-surfing or unattended screens; included as a baseline expected by customers and auditors. The rule already exists: CGI-POL-001 sections 4.4.2 (automatic screen lock), 4.8.2 (no unattended Confidential printouts) and 4.9.3 (lock the device when stepping away), which CGI-POL-001 section 8 maps to A.7.7. It is approved but unevidenced, and 40% of staff have not acknowledged it.",Partial,"Held: CGI-POL-001 sections 4.4.2, 4.8.2 and 4.9.3. Required: 100% acknowledgement; screen-lock configuration evidence; clear-desk spot-check record.",Head of People and Operations,-,-,-,31 Dec 2026,Contractual / stakeholder - NOT risk-based,2,N,-,ISO-11; REC-04
A.7.8,Equipment siting and protection,Physical,Y,No register risk covers this. Applicable to endpoints in the office and at home; included on a baseline and stakeholder basis.,Not started,Held: none. Required: guidance within the remote-working rules.,IT Operations Manager,-,-,-,31 Mar 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.9,Security of assets off-premises,Physical,Y,"Relates to ID.AM (no endpoint register, score 1). CGI-POL-001 section 4.4 covers device use off-site. Candidate risk CR-01 (lost or stolen endpoint) is recommended for the register.",Partial,Held: CGI-POL-001 section 4.4. Required: endpoint register; full-disk encryption evidence.,IT Operations Manager,-,ID.AM,-,31 Mar 2027,Maturity gap,1,N,-,REC-05
A.7.10,Storage media,Physical,Y,"Missed by CGI-GAP-001. The CGI-POL-004 section 4.2 Handling Matrix governs removable media, and EXC-003 records an approved exception, so the rule is designed and exercised through the exception process.",Partial,Held: CGI-POL-004 section 4.2; EXC-003. Required: media usage record.,Chief Technology Officer,R-003,PR.DS,-,31 Mar 2027,Risk + Maturity gap,2,N,-,-
A.7.11,Supporting utilities,Physical,N,"EXCLUDED. No information processing facility is operated, so there are no utilities to protect. Power and cooling for production are AWS's responsibility, assured through A.5.23 (VRA-2026-001).",N/A - excluded,Held: VRA-2026-001. Required: exclusion approved in SoA v1.0.,IT Operations Manager,-,-,-,N/A - re-evaluate at SoA review 30 Sep 2027,Excluded,,N,-,-
A.7.12,Cabling security,Physical,N,"EXCLUDED. There is no on-premises network cabling carrying production data. Office connectivity is the landlord's shared service, and platform networking is covered by A.8.20 to A.8.22.",N/A - excluded,Held: n/a. Required: exclusion approved in SoA v1.0.,IT Operations Manager,-,-,-,N/A - re-evaluate at SoA review 30 Sep 2027,Excluded,,N,-,-
A.7.13,Equipment maintenance,Physical,Y,"No register risk covers this. Applicable to endpoints. The CGI-POL-001 section 4.4.3 patch rule is a software fragment, not maintenance, so it does not change the status.",Not started,Held: none. Required: endpoint maintenance and repair rule (data wiped before third-party repair).,IT Operations Manager,-,-,-,30 Jun 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.7.14,Secure disposal or re-use of equipment,Physical,Y,"Relates to ID.AM (asset lifecycle, score 1). GDPR Article 32 requires secure disposal of personal data on retired devices. No procedure exists.",Not started,Held: none. Required: wipe or destruction record per retired device.,IT Operations Manager,-,ID.AM,-,31 Mar 2027,Maturity gap + Legal,0,N,-,REC-05
A.8.1,User endpoint devices,Technological,Y,"CGI-POL-001 section 4.4 BYOD rules exist, but there is no register and no management tooling for the 50 staff devices (ID.AM = 1).",Partial,Held: CGI-POL-001 section 4.4. Required: endpoint register; encryption and screen-lock compliance report.,IT Operations Manager,R-001; R-002; R-003,ID.AM,-,31 Mar 2027,Risk + Maturity gap,1,Y,ID.AM,REC-05
A.8.2,Privileged access rights,Technological,Y,"CGI-POL-002 section 4.3.3 mandates phishing-resistant MFA for privileged accounts, but the CGI-POL-003 section 4.7.1 quarterly review has never run and the AWS root-account CUEC is unaccepted.",Partial,Held: CGI-POL-002 section 4.3.3. Required: privileged account list; quarterly review records; root MFA evidence.,IT Operations Manager,R-005; R-003; R-001,PR.AA,F-010 (root MFA and least-privilege CUECs),31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-02; VRA-2026-001 C1
A.8.3,Information access restriction,Technological,Y,"Missed by CGI-GAP-001, and the most important omission: R-004 is an application authorisation flaw, which is this control. No authorisation design standard or test exists (PR.PS = 0). CGI asks vendors for tenant isolation (VQ-24) that it cannot yet evidence itself.",Not started,Held: none. Required: authorisation and tenant-isolation design standard; test cases; REC-16 penetration test result.,Chief Technology Officer,R-004,PR.PS; PR.AA,-,31 Mar 2027,Risk + Maturity gap,0,N,-,REC-06; REC-16
